"show_more_reviews_review","show_more_reviews_user"
"Deborah Orr was a journalist, the first female editor of Weekend magazine and award winning columnist. She died in 2019 aged 57.
This is her memoir about growing up in the North Lanarkshire town of Motherwell, Scotland. Really insightful, brutally honest and authentic, so very sad. Some highlights:
1.) Motherwell was famous for its steel production and like many industrial towns gave a sense of belonging and identity. Consequently, as industry disappeared so too did the aforementioned, leaving isolation. It's akin to worlds falling apart.
2.) Of industrial decline, 'the heritage industry moves in when people don't know who they are anymore and have to focus on who they were instead'.
3.) Orr's transparent recollections of her mother's narcissism and how they haunted her up until her death are tragic. Narcissists - everybody knows one, and everybody IS one to some degree.
4.) Shame is an emotion often confused with pride. It's a largely undiscovered or unresearched human emotion that's so damaging and difficult to deal with.
5.) Her toxic relationship with her mother reveals how a lot of people dismiss their own traumatic experiences because they consider them too small and trivial, and also because of the 'others go through a lot worse' narrative. It doesn't make your experience any less valid or traumatic.
6.) Doing your best to minimise your own needs in favour of someone else's was one of the burdens of her being loved and having a family.
Highly recommend!","Mark Bailey"
"I wanted to like this book. Deborah Orr was one of the columns I always turned to in the Guardian as an insightful journalist and I was looking forward to reading her account of growing up in Scotland around the same time I did.
There are good bits in this book. The accounts of living in those times when heavy industry was at its peak, with most of the town employed or supported by it in some shape or form, through the destruction of that in Scotland and, well almost everywhere else, by the Tory government lead by Margaret Thatcher were recognisable. Leaving home to go to University was a big thing then when so few people went. Young women were routinely sexually harassed and simultaneously roundly condemned for being “easy”. Parents, born in the aftermath of the second world war, had of relationships with food, born out of rationing and also held opinions about black people and gay people that are appalling. Deborah’s parents and so did almost everyone else. These are recognisable themes and it was good to read about these from a Scottish perspective written by a talented writer.
But..... The constant reference to everyone who is not Deborah as being narcissistic was just so wearing. Nothing is ever her fault and she is never to blame. I kept hoping it would stop but from about 20% of the book onwards, the same stuff keeps on and on. Her mother prefers her brother. Her father worships her but her mother gets in the way. Her brother had it easy because he’s a boy (that’s probably true). She lied, stole, took drugs, had abortions but it was all someone else’s fault. Everyone else she meets is a narcissist but self reflection is a rare beast in this book. And that’s a real shame. I wanted to like it but the psychobabble just got in the way. And I wanted to know what it was like to be married to Will Self. But now I never will.","Kim"
"I loved this book. I was born a couple of years before Deborah Orr, and while we grew up in different home nations, there are some uncanny similarities in our early years upbringing. We both went through our childhood with adequate but limited family means, and attitudinal comparisons between our parents are really strong in a lot of areas. Some of the anecdotal writing resonates so very clearly with me that I can hear the words being said by her mother emanating from my mum’s mouth too. The book captures so much of what I remember from those times: small memories that she depicts triggered similar recollections in me, sometimes tiny things that happened when I was very young that, it seems, weren’t exclusive to my upbringing even though they appeared so at the time.
The book is beautifully written, its style reflective rather than purely narrative. It’s clear the author needed to write it to come to terms with the relationships she had in her childhood and to compartmentalise experiences that she’d gone through, both good and not so good. The analysis that was the result of this process was apparently both cathartic and essential, and I applaud her honesty and determination to confront issues that might otherwise have stayed suppressed. The book is powerful, gripping and raw, it’s funny in places, and at times very moving. I loved every page.","Catherine Fleet"
"3.5 Stars!
“I didn’t know, until recently, that denying another person their own feelings is the foundation of all emotional abuse.”
Declining industry, rape, bullying, narcissistic parents and a succession of truly awful men don’t normally make for the most happy and upbeat of memoirs, but there we go. This is a far more coherent and satisfying memoir than her ex-husband’s which came out last year.
Orr examines her deeply complicated relationship with her prickly mother and stoical father. Her descriptions of working class life growing up in Motherwell are so well told and she never shies away from the darker elements, giving us a fully fleshed out account of the many hardships she encountered and how she dealt with them.
There is plenty of wisdom and insight here and Orr reaches some really compelling conclusions about motivations and roles people play with specific emphasis on Karpman’s drama triangle, which was certainly illuminating. This reminded me very much of Kerry Hudson’s “Lowborn” and also covers similar social and psychological terrain as Andrew O’Hagan’s “The Missing” and Damian Barr’s “Maggie and Me”.","Keen Reader"
"Very difficult to rate memoirs.
I thought the structure and much of the writing was messy.
This felt very much like a work in progress, which I guess shouldn't always be considered a bad thing. People are works in progress, and Deborah Orr obviously was very much so.
Sad she passed away, I don't think she even saw the publication day.","Imke"
"I actually put off reading this as I thought it might be a bit brutal. It pulls no punches and is very honest but it's also very funny and full of affection. A really insightful depiction of family dynamics with a whole lot of other stuff - social history, geography even nature writing - thrown in. Just tragic that there won't be any more books.","Schopflin"
"I enjoyed this, but I think the blurb made it sound like quite a different book.","Eloise Mcallister"
"Dull and repetitive. Deborah Orr had a v interesting life yet randomly chose to focus her memoir on the most boring phase of it (does anyone have an interesting childhood I ask?? Except for like the Von Trapp kiddies??) Improved in the second half but by then I was PMSing so felt too grumpy to care","Katie"
"In many respects I liked this a lot. As a good memoir should, it describes with bleak honesty and reflective understanding the joys, miseries and privacies of childhood, and the deep ambiguity of her relationship with her parents. Their contradictions are laid bare; her father was - to her- a working class hero, a steelworker who was made redundant when Ravenscraig was closed, and who, like her mother, voted twice for Margaret Thatcher, and was anti-Labour, anti union, homophobic and racist (at least till shortly before his death). Her mother shared with him a fear that their daughter would leave (as she did), would outgrow them (do we ever outgrow our parents?) and would find herself with people who would not understand her (St Andrews University filled this role.) To try to control her they read all her letters in and out. It's painful; the childhood sections are more joyful - wandering in the woods despite the Bad Men there, or the school where there was effectively a grammar school tucked inside a Comprehensive. And for the flavour of the period, there's always the Vesta curry.
But somewhere along the line, Orr must have had a therapist who taught her all about narcissism. This is introduced so often I became irritated, much preferring her own reflections without this frame.","Katedurie50"
"‘Motherwell’, Deborah Orr’s memoir of her formative years in this town and her later escape to university and beyond, is a searing, honest and incredibly moving account of a child of the 60s and teenager of the 70s. Many of the political references and domestic detail cast me back to my own, albeit different, youth and, for these details alone, this may well be a fascinating read for our children’s generation as well. How they might wonder at our naivety, our pleasure over the most basic of toys, the knowledge that we had to make our own entertainment day in, day out!
But this is not an account seen through the haze of rose-tinted spectacles. Deborah Orr wipes away any nostalgic miasma firmly and effectively. Instead, the lens are polished ferociously and her troubled relationship with her family laid bare. However, neither is this a misery memoir in the expected sense. Orr is loved by her parents; they encourage her in her interests and are proud of her academic achievements – as long as they fit in with their world view. She is to stay at home, keeping her mother company until she marries and has a family of her own. Many younger readers will be amazed that this Victorian attitude prevailed into the 1980s. However, it was not so unusual, particularly for working families living in close-knit communities, many of whom had scant opportunity for change.
Whilst it is hard to stomach the everyday little cruelties dealt Orr as she began to fashion a life for herself, it is really uplifting to read how she slowly manages to become an independent woman involved in work that she loves. It is even more incredible to see her quest for the truth as she re-visits the parenting she received, and its effect on her and her brother, her parents’ relationship, and why her own relationships were so often toxic. Much of this is explored through her understanding of narcissism which leads on to her argument for its prevalence in the West.
This is an engrossing and thought-provoking read: moving, shocking, funny and uplifting. What a tragedy that they are amongst her final words in print.
My thanks to NetGalley and Orion Publishing Group for a copy of this novel in exchange for a fair review.","Sarah"
"Moving and all very familiar of growing up in working class Lanarkshire, but at times I found Orr’s writing of her relationship with her mum and her mum’s narcissistic qualities difficult to read in one go, quite heavy going.
Her description of the choice to move away from Motherwell for uni being unusual also rings true, as does her experience of feeling alien as a Scottish person with a ‘thick’ accent in a ‘Scottish Uni’ - felt very true of my time in Edinburgh.
Did make me want to go home and go a walk down the Duchess Park","Paula Glancy"
"Read for the Blackwells book group. This is a harsh account of Deborah Orr’s childhood in Motherwell.
The family bureau offered up an interesting insight into her childhood from the selection of items that had been retained by her parents. But she alternated between acknowledging the love and support she was given by her parents, then was fiercely critical of them. I also felt the sections on narcissism were repetitive.","Catherine Jeffrey"
"This absolutely brilliant memoir about home, family, being a woman explores perfectly the complex web of experiences and relationships that make up our lives. I don't read much non-fiction but when I do I really enjoy it. I'm gutted I didn't get to discuss this at the book club Claire is running! Nevertheless I'm so glad I came across it through the book club!","Claire"
"Gripping, touching, tragic - the story of a woman caught in a contradictory, toxic relationship with her parents - who are caught in a contradictory, toxic relationship with the values of post-war Britain. Also a portrait of a time before Thatcher and a tale of how class is reproduced in the nuclear family - and of the always pretty toxic masculine. Very well written. I had never heard of Deborah Orr before and in the end, I almost cried when I found out she died before this was published. This was given to me by a friend who likened this book to Didier Erebon. He was wrong - this has much more emotional impact.","Electric"
"Feel very conflicted about this book. I really wanted to and was ready to love it.
A really important piece of history, life in Motherwell in the 60s-70s seen through the eyes of a child.
Struggled with the her repetitive psychoanalysis of her family attaching psychiatric diagnoses to them and in parts seemed poorly written. Felt its different attempts to connect to both historical and present politics didn’t work at times with some exceptions.
But ultimately feel this book was informed by a huge amount of trauma so who am I to judge it with stars?? It must have been really hard and sad to write and that was also the reading experience.","Danielle Maria"
"Really fascinating book about growing up in Motherwell in the 1960s-80s. I found the societal themes spoke to me the most - dealing with a half English, half Scottish identify, what it was to be Scottish at this pivotal moment, the fast changing labour market, feminity and the patriarchy and thought Orr used key points in her biography to cleverly segue into these broader themes. What fell down in this book for me, as seems to be the case for other reviewers, is the exploration of narcissism, as I felt she needed to develop what the idea was more strongly at the start if she was going to continually refer to it throughout the book.","Kiana"
"This was presented in 5, 15-minute segments by the BBC. I enjoyed listening to it, but nothing stood out to remember it by.","Paula"
"Brilliant, honest and ever so sad as Deborah Orr died soon after finishing the book. The book is a testament to the time she grew up in Motherwell and the changes she witnessed. Her parents were products of the 1930s. Tough and bordering on the cruel and never being able to show their love to their children properly. That Deborah Orr's mother wanted her to have the same life that she had lived is very sad. That Deborah did not is testament to her strength and sheer bloody-mindedness.
She is a sad loss.","Richard"
"Deborah Orr, the well known journalist shares the results that the parenting she received had on her life. It is poignant that she struggled for so much of her life, and then died so early, and that this book was published posthumously. There is anger, there is love, there is disappointment, and she throws her own passive aggressive bombs in the direction of her brother and her ex husband. I had no idea who she was married to until I googled it, and am not surprised her marriage was not easy.","Ruth This one"
"Well written, honest and sharp review of childhood that was difficult to read at times.","Sue Garwood"
"Kort na het overlijden van haar moeder keer Deborah Orr terug naar haar ouderlijk huis in het Schotse industriële stadje Motherwell om de nagelaten spullen uit te zoeken. Terwijl ze bezig is met het opruimen van de secretaire dringen de herinneringen zich aan haar op en komen de emoties waar ze zolang tegen gevochten heeft weer terug.
De opbouw van deze memoire is prachtig, ieder hoofdstuk is vernoemd naar een voorwerp uit de secretaire waar alle waardevolle bewijsstukken gearchiveerd. Hiermee brengt ze niet alleen haar eigen leven in kaart, maar schetst ze ook een levendig portret van het leven in de jaren zestig en zeventig in Motherwell. Haar Engelse moeder heeft zich altijd een buitenstaander gevoeld in het Schotse Motherwell, terwijl haar vader helemaal opging in zijn werk in de mijnbouw. Toch zijn haar ouders vastberaden om er samen iets van te maken en Orr blikt met weemoed terug op deze liefdevolle vroege herinneringen.
Wanneer ze ouder wordt beginnen er steeds meer barsten te ontstaan, vooral in de relatie die zij met haar moeder heeft. Orr wil zich niet conformeren aan de traditionele opvattingen en kiest ervoor om haar eigen weg te gaan wat leidt tot veel spanningen en een diepe breuk tussen haar en haar ouders.
De herinneringen zijn schrijnend om te lezen. Gezien willen worden, gewaardeerd willen worden, daar alles voor over hebben, maar toch keer op keer afgewezen worden, en steeds weer geremd worden door het narcisme van de ander. In eerste instantie lijkt deze verandering vrij subtiel, maar gaandeweg wordt duidelijk hoezeer Orr hierdoor gevormd wordt in haar ontwikkeling als mens.
Deborah Orr weet de impact van de steeds opnieuw onbeantwoorde moederliefde treffend in woorden te vangen, en de emotionele en traumatische impact die dit op haar heeft is groot. Wat ik vooral mooi vind is dat er veel ruimte is voor alle subtiliteiten, de hiaten, het verschil tussen wat de buitenwereld ziet en wat zij ervaart, waarmee ze duidelijk maakt dat trauma, vooral trauma wat zo diep in het wezen van je zijn woekert, zo ontzettend onzichtbaar kan zijn wanneer je zelf niet opgegroeid bent in een dergelijke slangenkuil.","Beatrix Minkov"
"What a let down. If you are looking for a story or memoir about growing up in the harsh industrial west of Scotland in the 1970s and 1980s, which is what this book seemed to be about, then this is not it. Instead, the author uses her memoir as a therapy session where she eviscerates the memory of her parents and blames them for everything that has gone wrong in her life (there's some vague, hooky attempt at psychoanalysis and 'narcissistic' theory throughout, none of it very convincing)- except it's hard to see what they actually did wrong. We are told about childhood traumas, but not a single thing from the author's childhood seems remotely traumatic. She got told off for wearing an old pinafore outdoors, she got told off for taking her mother's nail varnish, she got bullied at school, but nothing worse than I, or a million other children, saw or experienced in our own school days. I honestly can't remember much her parents did wrong, other than being victims of their time and place they were born into. They weren't that poor, they always had a house and food, they struggled for work at times, but generally scraped through, like most others. I have no idea why Orr was so bitter towards them. Strangely, real traumatic events which happened after she had left home - two rapes, an abortion - are brushed over in a couple of pages, and still seem to somehow have been her parent's fault. Meanwhile, weird tangents get more consideration - like a thesis on DC Thomson controlling the Scottish media(?). Orr comes across as bitter, selfish, self-centred, petty and mean-spirited - which is exactly what she is accusing her parents of being. On top of that, the book is really badly written. There is no structure, it's just a rambling tirade in need of a good edit. Orr also has some really annoying habits like putting into CAPITALS words that are IMPORTANT for EMPHASIS when there is no need to, and, worse. Writing. In. One. Word. Sentences. To. Make. A. Point. As well as her parents and everyone she's ever known - ALL. MEN. ARE. BAD. I don't like to be mean-spirited, or have a go at authors work in reviews, but as Orr spends the entire book stomping down on everyone in her life she ever met, it somehow feels okay here. This is a mess, and a nasty one at that.","Iain"
"I think I will think about this book for some time as it resonates with me in all kinds of ways. The author talks about her childhood, growing up in a small Scottish housing estate through to her mid twenties, with small tidbits about her marriage thrown in. Being from a similar vintage as her, the cultural references made sense to me, and that feeling of wanting to get away from home at 18, heading off to University and trying to have a relationship with your parents as an adult. Also the references to the Bureau - that piece of furniture that seemed to be in all our parents houses, holding all the important papers that you were never allowed to ferret around in or look at, yet once our parents have died you find yourself in all the bits of paper artifacts in its drawers and nooks and crannies.
I felt for her, that even when she was an adult living her own life, her mother still used every opportunity to disapprove of her choices and that you are left with the impression that she never felt particularly loved. Sad too, that not long after the book was published she herself died of breast cancer, and never got to see the relationship from a greater distance of time, when she may have been more forgiving of her parents behavior.","Julie"
"Book rating: 4 / 5
Audiobook rating: 5 / 5 - absolute perfection
A deeply introspective memoir, that is also a great sociological analysis of traumas of a post-war generation, patriarchy, industrial Scottish town and it's demise brought down by thatcherism and everything in between: and there's a lot of it.
I had my doubts about the recurring theme of narcissism and attempts to fit the Orr's family situation into the mould of psychological theories of narcissism: it seemed to me to be trying to hard at times, but other than that this was a very good and extremely honest book.
The audiobook was just excellent: the narrator, owner of a strong Scottish accent I love so much, did fantastic impressions of Orr's mother's Essex accent, switching between the two with ease. She did an excellent job at narrating this.","dot."
"This book will stay with me for a long time, it’s a very emotional read.","Briony"
"A beautifully written memoir.","Jenny Cooke (Bookish Shenanigans)"
"This was a book of two halves for me: I found the first half a struggle but really enjoyed the second. So if you’re reading these reviews to see if you should carry on, my advice is to persevere. My main objection to the first half is that the behaviour of the parents didn’t seem to justify the writer’s endless complaints. Many people have had to cope with worse than the ‘narcissistic personality disorder’ of her parents. The term ‘narcissism’ is repeated frequently through the text. The parents were admittedly odd and flawed, but nowhere near as cruel as some we are too sadly familiar with from other ‘misery memoirs’.
However, even in this early section I really enjoyed the social history – the food, environment, mannerisms, clothing, etc - which the writer deftly incorporated. Children notice so much - all eyes and sensitivity.
By the second half, when the child becomes a teenager, my interest grew as the scope widened to include school and in particular the local economy, dominated by the Motherwell steelworks. In many ways, this book traces not just the author’s life but that of British manufacturing. She was just old enough to remember and record the miner’s strikes and rise of Thatcherism, and later as a journalist she had access to events that marked the decline of a manufacturing based economy. We are living today with the aftereffects of that decline, as though the controlled explosion of factory cooling towers still reverberates through the land.
Her mother’s final years are hard to read about, as the patterns of behaviour laid down in childhood still shadow their final years together. In places there’s an acceptance of her mother and the difficulty they both have in finding resolution. She still complains about her mother, but with more understanding of the limitations and expectations imposed on that earlier generation.","Katherine"
"Motherwell is the heart-breaking, poignant story of Deborah Orr’s difficult relationship with her mother, and her home town. But this is no misery memoir. There is a lot of humour among the pathos. It feels like she is trying to make sense of her past and move on. It must have been cathartic to get it all off her chest. It is a real shame that she did not live long enough to reap the benefits.
Having grown up in another Lanarkshire town less than ten miles north of Motherwell, and only a few years earlier than Deborah Orr, reading this book took me right back to what it was like growing up there in the 60s and 70s. She captures the place and time with such attention to detail; it reminded me of stuff I’d long forgotten.
Although set in central Scotland, there is a universality to this story. Her parents, Win and John, do not come out of this well, but you can relate to their inability to understand their clever daughter and how the world had changed. That she got out and made a successful life for herself is testament to her strength of character.
I always enjoyed reading her columns in the Guardian; she had a unique voice. Who knows what she might have gone on to accomplish next, had her life not been cut so cruelly short.","Sandra"
"I found this book quite difficult to get into, perhaps it was the amount of information Orr was giving.
However as I read on I found I could relate to so many aspects of life in the 60’s and 70’s. I began to love the detail of the information and the authors dilemmas. So many of the scenarios, facts and detail were also part of my life during those years. I was reminded of Issues around parenting and the views of my grandparents that had obviously informed my mums parenting of me and my brother. So interesting to hear this from someone else’s perspective.
On conclusion I was sad to read the author passed away in 2019 aged only 57 years old. So much of her life had been spent trying to please and understand her parents. She had suffered but survived and was a very successful writer. It felt that on reflection writing this memoir reminded the author of the pride her parents felt but were unable to express in words.","Nicola"
"A thought provoking and poignant account of growing up in Scotland that will resonant with any working class Scot. As a nation we are harsh on ourselves, quick to condemn and slow to celebrate success. Hopefully we children of the 60’s have instilled more of a sense of self worth in our children (and tell them sometimes it’s ok to blow your own trumpet).
We are all a product of our upbringing but it is so sad that the author was unable to stop blaming the past for her own choices - it’s an easy way to avoid painful truths. I really didn’t rate the psychoanalysis, finding it tedious and self absorbed.
This book successfully navigates through a time of monumental social and economic changes and sadly the devastation of some of the decision made in the 80’s still hangs over these working class communities like a dreich winter day.","Sandra"
"Deborah Orr did a detailed analysis of her childhood, the dynamics within her close family and the way they affected her life afterwards. There is a detailed character study of both her parents. I found it interesting that she had so many clear distant memories because I feel I'm the person I know with the strongest memory and I like to know there are others like me. The concepts of narcissism and how they explained parental behaviour, terrible relationship patterns and populism / dictatorships are explored in detail, as well. And, as a background, there's a lot of information about growing up in Motherwell in the 60s/70s, the changes in the area, politics, mentalities, etc. It wasn't exactly a riveting read (I read it slowly) but in terms of emotional disclosure and psychological analysis it was very rich.","Joana"
"A beautiful and unsentimental book that eloquently fuses the tales of Orr's life in her hometown, Motherwell, and her relationship with her mother Win. Filled with fascinating historical detail of a Scottish steel town in a time where women's freedoms were still hugely restricted, this is an inspirational but imperfect story of one writer's journey to forge her path independently, led by a clarity of vision for what she wanted her life to look like on her terms. Often heartbreaking and occasionally triggering, Orr does not sugarcoat the painful difficulties she experienced during all stages of her life, but instead expresses them with acceptance and derives many lessons from her reflections. Highly, highly recommended.","Veena McCoole"
"I loved this book.
It was written with such thoughtfulness, sensitivity, realism and it held me. It provided me with the opportunity to reflect on my life growing up and brought me to tears.
Trying to get back into reading regularly. I found it easy to read and couldn't put it down.
A rich canvas of wonderful imagery and poignant moments of growing up in Lanarkshire. I want to read it again as its the type of book you want to revisit and reflect upon.
I have never read any of Deborah's work before, but will certainly be keen to read her other works.","JC Bush"
"I’ve just finished this book, and immediately found out the the author died two years ago. I’m genuinely gutted, because in reading her memoir I fell in love with her sensitive, honest, intelligent, and often humourous voice. She did a great job of situating her personal story in the wider context of Scotland in the 1960s and 70s. Her fraught relationship with her mother was hard to read about at times, but she managed to find compassion for her parents, despite the damage they’d done. I’m just so sorry for her that she had less time to come to terms with the death of her parents, and her own trauma. Fucking cancer.","Emer Tannam"
"A bit of a slog hence the time reading this took, I’m not sure the memoir genre is for me tbh. BUT some really interesting topics of discussion from social issues to Thatcher, mostly a reflection of a dysfunctional family relationship warts and all. A lot of talk about narcissistic personalities which I’m not 100% sure I understand. I didn’t not like it, but I didn’t love either.","Alex"
"This is an excellent book. Really appealed to me as someone who grew up on a council estate and recognised many of the fixtures and fittings of Orr’s childhood days. I would love to read her recollections of her days working in the media, given her working class background, but sadly, like many great people, she is no longer alive to tell what I’m sure would have been her must-read story. However, we’ll always have Motherwell and so will she. Order this book. Buy it. Read it. It’s excellent.","Andy Walker"
"This is a book that I will keep on thinking about for a while…it is both shocking, deeply sad and funny. I haven’t read a lot of memoir prior to this, but the honesty was quite refreshing, if at times a little unsettling. It’s strange to be told such unfiltered truths without a character to hold/shape them. Family is complex and so mysterious and I think Orr’s writing really unpacks that.","Florrie Taylor"
"An exceptional examination of girlhood, womanhood and motherhood. Orr's writing is scalpel sharp, dissecting every inch of her childhood in order to reflect on the person she is now. Much to relate to!","Hannah"
"Deborah Orr, journalist and editor, died from breast cancer last year and this memoir published earlier this year is about growing up in Motherwell, near Glasgow, in the 1960's and 70's
The book is about Deborah's relationship with her mother but it covers so much more
Direct, funny and thought provoking Deborah was and continues to be an inspiration to many people
I thought this book was great and it made a huge impression on me
One of my favourite books of 2020","Ian Place"
"I found Deborah Orr's memoir of her upbringing and youth very moving and felt a good deal of sympathy for her as the daughter of parents who could not accept her as anything but an appendage of themselves. An insightful book on tangled family relationships and childhood trauma. I did find some of her emphasis on narcissism a little heavy handed and over stated. Although once you've been married to Will Self I suppose you can claim to be an expert on the subject.","Gemma Williams"
"3.5 rounded up
A very evocative memoir of the author's experiences growing up in the south west of Scotland. It was very of it's era, evoking the estates and lives of families living in them.
There is a lot of anger in this book too. There is also a lot of trauma and experiences which shaped Deborah's life - which might be triggering for some. At times it felt like a bit of a tirade against her parents, who clearly were not always acting with their daughters best interest at heart.","Naomi"
"One of the most powerful accounts I have read of how a childhood forms a personality, as told by the underlying essence of the author fighting for understanding and freedom. Such a rich and textured account of a family, a time and a place. Breathtaking.","Jackson Rees"
"Any book that mentions Hamish Imlach must be worth 5 stars. Seriously though worth a read.","David Hill"
"3.5 rounded to 4*","Kirsten Mackie"
"I loved the social history and it was a real trip down memory lane for me as we are the same age but I didn’t really like her!","Jacqueline Piper"
"I really enjoyed lots of aspects of this book. The history of the area; impact of war on her parents. It’s is well written and an interesting way to construct a memoir.","Sarah Wheatley"
"Enjoyed","Emma Slade"
"most childhoods are just not v interesting","Ash"
"If I could give it 6 stars I would!","Sarah-Louise Bamblett"
"A slow burner...I felt like giving up on the book during the first couple of chapters but I am glad I persevered. A very well written book that evokes memories of growing up in Lanarkshire.","Tracy Donachie"
"Brilliant and moving memoir of a fantastic Guardian journalist and editor.","Nick Jacob"
"I really enjoyed this - a memoir hinged loosely around emptying the bureau of ‘significant’ documents in her parents house after their deaths. The bureau having been a cornerstone of social progress to her parents- Orr’s now adult critical eye, greatly informed by freedoms of feminism, professional success, motherhood, -considers the motivations and associations of what has been kept there.
She makes some really interesting reflections on her formative family dynamics, mindful of the economic and social push-me pull-yous as well as the emotional. Her conclusions about patriarchy, and what post war men and women wanted (or were made to want) from a marriage, are really interesting, and ring true. There’s a real effort here to think about why people are as they are. Her parents attitudes towards sex do seem out of keeping even with those times, and Orr wrestles throughout this book with explanation, and distaste for their repressive views on sex, as well as other issues.
It therefore also sheds light on Motherwell in the 60’s and 70’s- with moments that feel common and grounding to any child in any playground of the period, but many things so peculiar to steel industry heyday Lanarkshire, that they are genuinely feel like another country. Her accounts of the changes in housing stock in her own life time are really interesting.
The writing is candid, and not self-indulgent - it is lucidly informed by her post breakdown psychiatric treatment. Her reflections on narcissism are valid - but would have liked an editors touch perhaps. The early childhood material is better I think than the latter parts- which become more (necessarily?) selective as she goes to University, to London, marries. This selectivity makes for a rather hurried conclusion - a swift reference to her breast cancer, a marriage breakdown, caring for a parent with cancer, a last (brilliant) visit with a Guardian photographer to Motherwell.
Interestingly to me - she writes rather succinctly and dispassionately about at least two sexual assaults as a young woman, and a relationship that comes to a particularly unkind ending. She points out some subliminal acts of self harm - on two early occasions that her parents were involved in (and critical of) a relationship, she got pregnant shortly afterwards. She does not go into any detail about the collapse of her marriage but she does mention ruefully the years of spending her Self, propping up men. I found it hard to understand whether she considered herself particularly vulnerable to these events as a result of the narrow conformist parenting, the childhood she has described so well earlier, and I would have liked to - but I imagine this last part of the book may have been foreshortened by the return of Orr’s cancer and her regrettable death.","Moore"
"I first came across Deborah Orr when she wrote the only non-fawning article about Princess Diana in the aftermath of That Car Crash. I thought, Orr? She must be Scottish. Maybe she's even from Lanarkshire. And, as it turned out, she grew up only about ten miles from where I grew up a few years before her. Her descriptions of life in North Lanarkshire are spot on, very perceptive, and her forensic analysis of how a government can destroy a community, and the consequences of this destruction, should be compulsory reading for our current political leaders. But apart from that, our lives were so different in our respective families' political leanings, extra-curricular opportunities, the granting of freedom to their children. Her love for her parents is clear; the damage done to her was dreadful. And just as she had started to come to terms with all this, she died. This book is a triumph, and a tragedy.","Barbara"
"Really enjoyed this memoir!","Natalie Lynn"
"Edit: taking this down to 3 stars judt cause in retrospect it wasn’t anything special and doesn’t really deserve anything more. This got better at the end as the author became more accepting of her parents rather than holding a grudge against them. I think she was more like her parents than she wanted to believe. She constantly talks about her parents’ narcissism but refuses to see relatively mundane things from a different perspective. This is addressed in the last chapter of the book. She holds a lot of hate and negativity in this book but again, it is her memoir so she can write what she wants. It reads well and is written well hence the rating but it’s not higher as I just didn’t really care about what she had to say","Anna"
"3 5*
Very well written and full of interesting modern Scottish History. With the author being not much older than me, there was much to which I could relate in terms of cultural references. Unfortunately she also got right on my nerves. Maybe I am too narcissistic myself to care about someone else being the unwilling victim of narcissism? And what's wrong with calling your Mum and Dad your Mum and Dad? Or any of the alternatives?
She should have quoted This be The Verse by Philip Larkin and then just told her life story without all the introspection and self-analysis!
https://www.poetryfoundation.org/poem...","Helen the Bassist"
"Loved it. It seems we travelled a lot of the same experiences and it's almost therapy to hear and see them third party and compare to your own life. 🌱💚","Andrew Brough"
"Three and a half stars - a little too bleak ...made me sad ...","Claire O'Sullivan"
"A fascinating read. Both sad & funny in places. A raw compelling read of how a dysfunctional family can have such an emotional affect of growing up.
The need to be accepted for who you are is overwhelming.
The need to escape the rigours of a controlling mother and a father who controlled through silence.
This book needs to be read by both women & men.
This has left a lasting impression on me.","carole"
"Really interesting social history. Recognises and illustrates the ways that different generations experience and pass down trauma. Was really insightful as well as being a personal memoir.
I did find it jumped around a bit too much for me and some of it was a little repetitive. However, was a fascinating analysis of how collective and individual trauma has effects on family dynamics.","Anna (BooksandRubberducks)"
"Halfway through this very moving memoir, Deborah Orr asks ""Is memoir therapy? Or is it vengeance?"" I think this book is a bit of both. It is a splendid picture of her parents, a couple no more flawed than any other but shown in all their contrasting facets. She loved them in spite of their clashes and after her mother died, she found a whole archive of her published work, evidence that they had valued her far more than she had realised. But the book avenges the young girl who was buffeted about within her parents' codependent relationship.
It is also very clearly therapeutic although the author did not live long enough to be comforted by the appreciation of her readers. She dwells at length on the impact of narcissism, both individual and societal, in an insightful way.
The book is subtitled ""A Girlhood"" and only hints at Orr's adult life. I enjoyed her journalism for many years and followed her on Twitter. Along with many others, I was saddened by the searingly honest accounts of the trials and tribulations of her marriage and of her illness, especially her final tweets. Writing this book can't have been an easy task but I hope that the process brought her some comfort.","Laura Spira"
